iter	RMSE
0	341.3963207
1	333.7503462
2	326.6515418
3	321.4726267
4	315.4783972
5	309.5648401
6	304.4511358
7	299.1593731
8	295.0315905
9	290.1081893
10	285.5048657
11	281.2642064
12	277.4632073
13	272.6061379
14	267.9443879
15	265.0023772
16	261.4884655
17	258.2095101
18	255.0784337
19	252.1292994
20	248.948643
21	246.5790224
22	244.0535128
23	241.4533743
24	238.9325908
25	236.4672336
26	233.9532817
27	232.1989665
28	230.0698315
29	228.0590347
30	226.2292114
31	224.2292411
32	222.2546121
33	220.608445
34	219.0406201
35	217.3473393
36	215.6542702
37	214.2757971
38	213.286194
39	211.5413976
40	210.2461081
41	209.0921824
42	207.5399741
43	206.7704052
44	205.604456
45	204.8262156
46	203.9176414
47	202.9594511
48	202.1359256
49	200.889644
50	199.5943623
51	198.7993237
52	197.9728064
53	197.175457
54	196.2469639
55	195.5811039
56	194.7771828
57	193.9718356
58	193.5673584
59	193.1564443
60	192.5341312
61	191.9077868
62	191.265142
63	190.6085081
64	189.6677341
65	189.4613008
66	188.9526277
67	188.2391364
68	187.7420593
69	187.2494839
70	186.6571308
71	186.3076988
72	185.7522055
73	185.3949184
74	185.13597
75	184.7752811
76	184.5318563
77	183.9791396
78	183.304279
79	182.6161827
80	182.3264185
81	181.9073969
82	181.6145404
83	181.213677
84	180.8639056
85	180.6910142
86	180.4290788
87	180.2294607
88	179.886762
89	179.4942013
90	179.0963583
91	178.6465661
92	178.1898042
93	177.982062
94	177.8636189
95	177.5907508
96	177.1609047
97	176.8172755
98	176.3595674
99	175.9056224
100	175.7357352
101	175.6241746
102	175.3304935
103	175.1349263
104	174.9030329
105	174.5613437
106	174.3490316
107	174.1995929
108	173.8517999
109	173.6010274
110	173.4214364
111	173.0086072
112	172.8364226
113	172.5879491
114	172.3876284
115	172.2780463
116	172.1570484
117	172.0944743
118	171.8249946
119	171.6762659
120	171.4756656
121	171.3885839
122	171.2131883
123	170.6810617
124	170.6318775
125	170.5755532
126	170.413396
127	170.2075202
128	170.0551539
129	169.8388656
130	169.6566661
131	169.3546642
132	168.9844027
133	168.8511409
134	168.7659571
135	168.6815136
136	168.5313904
137	168.4269892
138	168.3856983
139	168.2787899
140	167.7972438
141	167.7319906
142	167.4893876
143	167.4055067
144	167.1978617
145	166.990179
146	166.7233462
147	166.6090629
148	166.4586252
149	166.369884
150	166.1042075
151	165.9022378
152	165.6227673
153	165.421883
154	165.3849896
155	165.3131178
156	165.1958119
157	164.9170648
158	164.614504
159	164.4405219
160	164.2150121
161	164.079617
162	163.9769899
163	163.7199849
164	163.6069164
165	163.5152659
166	163.3163948
167	163.1451597
168	163.0208942
169	162.8924603
170	162.7788966
171	162.4615572
172	162.4007037
173	162.1874167
174	162.1080162
175	162.0294932
176	161.9387711
177	161.5838827
178	161.3588533
179	161.0825346
180	160.9029011
181	160.8598396
182	160.667863
183	160.6001484
184	160.4330355
185	160.3705542
186	160.2342359
187	160.0656121
188	159.8861847
189	159.6394828
190	159.4623393
191	159.3306921
192	158.9333903
193	158.6737513
194	158.4557065
195	158.3202465
196	158.27175
197	158.1052177
198	157.9888813
199	157.8993046
200	157.8239182
201	157.6933419
202	157.3639796
203	157.2762925
204	157.1067624
205	156.9546337
206	156.7334709
207	156.5259357
208	156.4238051
209	156.2123549
210	156.1247016
211	155.8912707
212	155.5467911
213	155.4332789
214	155.358363
215	155.288511
216	155.0694444
217	154.9878594
218	154.8364068
219	154.7390418
220	154.580257
221	154.4351826
222	154.2517882
223	154.128478
224	154.0428338
225	153.8997882
226	153.8375908
227	153.6920637
228	153.6038429
229	153.5112956
230	153.2432287
231	152.9555999
232	152.8513292
233	152.7288443
234	152.5887983
235	152.4800235
236	152.3699291
237	152.2484523
238	152.1646181
239	152.0103099
240	151.7359063
241	151.6549026
242	151.5943045
243	151.5560156
244	151.507594
245	151.3462552
246	151.2716356
247	151.0690185
248	150.8399223
249	150.7915195
250	150.6944663
251	150.5761819
252	150.5138791
253	150.4070936
254	150.3717164
255	150.2399147
256	150.0869537
257	149.9059345
258	149.6037382
259	149.5101602
260	149.3963635
261	149.3047878
262	149.2223044
263	149.1083173
264	148.8375533
