iter	Passed	Remaining
0	4	3248
1	6	2618
2	8	2253
3	11	2214
4	13	2158
5	16	2137
6	18	2092
7	20	1990
8	22	1996
9	24	1937
10	27	1980
11	30	1970
12	31	1934
13	34	1937
14	36	1903
15	38	1890
16	40	1860
17	43	1880
18	45	1881
19	47	1869
20	51	1892
21	53	1876
22	54	1852
23	57	1853
24	59	1843
25	71	2138
26	74	2123
27	75	2087
28	78	2078
29	86	2230
30	88	2197
31	90	2183
32	92	2152
33	94	2138
34	96	2109
35	98	2091
36	101	2094
37	103	2073
38	105	2056
39	107	2042
40	109	2030
41	111	2011
42	113	1999
43	115	1984
44	118	1980
45	119	1963
46	122	1960
47	123	1941
48	127	1952
49	129	1949
50	131	1933
51	133	1924
52	135	1910
53	137	1905
54	139	1891
55	142	1894
56	145	1890
57	146	1878
58	149	1874
59	150	1857
60	153	1856
61	155	1845
62	158	1854
63	160	1850
64	162	1841
65	165	1837
66	167	1833
67	169	1827
68	172	1832
69	175	1831
70	177	1825
71	180	1820
72	181	1811
73	184	1808
74	186	1806
75	190	1814
76	193	1813
77	195	1808
78	197	1800
79	198	1790
80	200	1782
81	202	1774
82	207	1788
83	210	1791
84	213	1792
85	215	1792
86	217	1782
87	219	1778
88	221	1768
89	223	1764
90	225	1754
91	227	1753
92	230	1753
93	232	1748
94	235	1744
95	236	1735
96	238	1730
97	240	1723
98	242	1719
99	244	1713
100	247	1710
101	248	1702
102	252	1711
103	255	1713
104	258	1709
105	260	1703
106	262	1697
107	263	1689
108	265	1685
109	274	1722
110	276	1714
111	278	1710
112	280	1702
113	282	1697
114	283	1691
115	285	1685
116	287	1680
117	290	1677
118	291	1670
119	294	1669
120	296	1662
121	299	1662
122	301	1659
123	303	1656
124	306	1654
125	308	1647
126	310	1643
127	311	1636
128	314	1634
129	316	1629
130	318	1628
131	321	1626
132	323	1622
133	326	1625
134	330	1629
135	333	1629
136	335	1623
137	337	1621
138	339	1614
139	341	1612
140	343	1606
141	346	1606
142	348	1601
143	350	1596
144	352	1590
145	354	1585
146	355	1580
147	357	1576
148	359	1571
149	362	1572
150	365	1570
151	367	1565
152	369	1563
153	371	1557
154	373	1553
155	375	1549
156	378	1551
157	381	1548
158	382	1543
159	385	1540
160	386	1535
161	388	1531
162	390	1526
163	393	1524
164	394	1520
165	397	1517
166	398	1511
167	400	1508
168	402	1503
169	404	1499
170	406	1494
171	408	1491
172	410	1487
173	412	1484
174	414	1479
175	416	1475
176	418	1474
177	421	1471
178	422	1466
179	425	1465
180	427	1461
181	429	1457
182	431	1453
183	433	1449
184	434	1445
185	436	1441
186	438	1437
187	440	1434
188	443	1433
189	445	1430
190	448	1430
191	450	1427
192	452	1424
193	455	1423
194	460	1429
195	463	1429
196	465	1426
197	468	1423
198	469	1418
199	472	1416
200	474	1412
201	476	1411
202	480	1412
203	482	1408
204	484	1405
205	487	1404
206	489	1402
207	491	1399
208	493	1396
209	495	1392
210	497	1388
211	499	1385
212	502	1383
213	505	1383
214	507	1379
215	508	1375
216	511	1372
217	512	1368
218	514	1365
219	516	1361
220	520	1364
221	523	1361
222	524	1357
223	526	1353
224	527	1349
225	530	1346
226	531	1342
227	534	1341
228	536	1338
229	538	1334
230	540	1332
231	542	1328
232	544	1325
233	546	1322
234	550	1322
235	551	1319
236	553	1315
237	555	1311
238	557	1308
239	559	1305
240	562	1303
241	563	1300
242	566	1298
243	568	1295
244	570	1291
245	572	1289
246	574	1285
247	576	1283
248	578	1280
249	581	1280
250	584	1278
251	586	1274
252	588	1272
253	591	1271
254	593	1268
255	595	1265
256	597	1262
257	599	1259
258	601	1255
259	603	1253
260	605	1250
261	607	1248
262	609	1245
263	612	1242
264	613	1239
265	616	1236
266	617	1233
267	619	1230
268	621	1227
269	623	1224
270	625	1221
271	628	1220
272	631	1219
273	633	1216
274	635	1213
275	637	1210
276	639	1208
277	641	1204
278	644	1204
279	647	1201
280	648	1198
281	651	1195
282	652	1192
283	654	1189
284	656	1186
285	658	1184
286	660	1181
287	663	1179
288	664	1175
289	666	1172
290	668	1169
291	670	1166
292	672	1163
293	674	1161
294	676	1158
295	679	1156
296	680	1153
297	682	1150
298	684	1147
299	686	1144
300	688	1140
301	690	1139
302	692	1136
303	695	1133
304	696	1130
305	699	1128
306	701	1126
307	703	1123
308	707	1123
309	710	1123
310	712	1120
311	715	1118
312	716	1115
313	718	1112
314	721	1110
315	722	1107
316	724	1104
317	726	1101
318	728	1098
319	730	1095
320	732	1092
321	734	1090
322	736	1088
323	738	1085
324	739	1081
325	742	1078
326	743	1075
327	745	1073
328	747	1070
329	749	1068
330	751	1065
331	755	1064
332	757	1062
333	759	1060
334	761	1057
335	764	1055
336	765	1052
337	769	1051
338	771	1049
339	773	1046
340	776	1045
341	778	1042
342	780	1040
343	782	1037
344	785	1035
345	787	1033
346	789	1030
347	791	1028
348	793	1025
349	796	1023
350	798	1020
351	801	1019
352	803	1016
353	804	1014
354	807	1011
355	808	1008
356	810	1005
357	812	1003
358	814	1000
359	816	998
360	819	996
361	821	994
362	824	992
363	825	988
364	827	986
365	829	983
366	832	982
367	834	980
368	836	977
369	839	975
370	841	972
371	843	970
372	845	967
373	847	965
374	849	962
375	851	960
376	853	957
377	855	955
378	857	952
379	859	949
380	861	946
381	863	944
382	865	941
383	867	939
384	869	936
385	871	934
386	872	931
387	874	928
388	876	925
389	879	924
390	881	921
391	883	919
392	884	916
393	886	913
394	888	910
395	890	908
396	892	905
397	910	920
398	912	917
399	914	914
400	916	911
401	918	909
402	920	906
403	921	903
404	923	900
405	925	898
406	928	897
407	931	894
408	933	891
409	935	889
410	936	886
411	938	884
412	940	881
413	943	879
414	945	876
415	947	874
416	949	872
417	951	869
418	954	868
419	956	865
420	959	864
421	963	862
422	966	861
423	967	858
424	970	855
425	971	853
426	973	850
427	975	847
428	977	845
429	979	842
430	980	839
431	982	837
432	984	834
433	986	832
434	988	829
435	990	827
436	992	824
437	993	821
438	995	818
439	997	816
440	998	813
441	1001	810
442	1002	808
443	1005	806
444	1007	803
445	1009	801
446	1011	798
447	1013	796
448	1015	793
449	1017	791
450	1018	788
451	1021	786
452	1023	783
453	1025	781
454	1027	778
455	1029	776
456	1030	773
457	1032	771
458	1034	768
459	1036	766
460	1038	763
461	1040	761
462	1042	758
463	1044	756
464	1045	753
465	1047	751
466	1049	748
467	1051	746
468	1053	743
469	1056	741
470	1058	739
471	1060	737
472	1062	734
473	1064	732
474	1065	729
475	1068	727
476	1070	724
477	1072	722
478	1073	719
479	1075	717
480	1077	714
481	1079	712
482	1081	709
483	1082	706
484	1086	705
485	1087	702
486	1090	700
487	1092	698
488	1095	696
489	1097	694
490	1100	692
491	1102	690
