Unnamed: 0,Group,Subgroup,Composition,"Binder, vol-%","d, mm","HV, kgf/mm2","KIC, MPa·m1/2","Load, kgf","TRS, MPa",Sintering,"T, °C",Ceramic_Type,Ceramic_Vol_Frac,Ceramic_Wt_Pct,Binder_Composition,VEC,H_mix,S_mix,Delta_R,Delta_Chi,Lattice_Constant_Est,Lattice_Mismatch,CTE_Mismatch,CTE_Binder,T_Liquidus_Est,T_Homologous,Sinter_Temp_K,Grain_Size,Parsed_Ceramic
1,co,1.0,b WC 25 Co,37,2.2,895,20.8,5,-,-,-,WC,0.75,75.0,{'Co': 1.0},9.0,0.0,-0.0,0.0,0.0,0.03535533905932738,0.9878336754785522,7.8,13.0,1768.15,0.946271526736985,1673.15,5.0,WC
2,co,1.0,b WC 19.5 Co,29.9,2.2,983,17.3,5,-,-,-,WC,0.805,80.5,{'Co': 1.0},9.0,0.0,-0.0,0.0,0.0,0.03535533905932738,0.9878336754785522,7.8,13.0,1768.15,0.946271526736985,1673.15,5.0,WC
3,co,1.0,b WC 14 Co,22.3,2.2,1121,13.3,5,-,-,-,WC,0.86,86.0,{'Co': 1.0},9.0,0.0,-0.0,0.0,0.0,0.03535533905932738,0.9878336754785522,7.8,13.0,1768.15,0.946271526736985,1673.15,5.0,WC
4,co,1.0,b WC 9 Co,14.9,2.2,1286,10.6,5,-,-,-,WC,0.91,91.0,{'Co': 1.0},9.0,0.0,-0.0,0.0,0.0,0.03535533905932738,0.9878336754785522,7.8,13.0,1768.15,0.946271526736985,1673.15,5.0,WC
5,co,1.0,b WC 3 Co,5.2,2.2,1600,9,5,-,-,-,WC,0.97,97.0,{'Co': 1.0},9.0,0.0,-0.0,0.0,0.0,0.03535533905932738,0.9878336754785522,7.8,13.0,1768.15,0.946271526736985,1673.15,5.0,WC
6,co,1.0,b WC 25 Co,37,0.7,1119,14.8,5,-,-,-,WC,0.75,75.0,{'Co': 1.0},9.0,0.0,-0.0,0.0,0.0,0.03535533905932738,0.9878336754785522,7.8,13.0,1768.15,0.946271526736985,1673.15,5.0,WC
7,co,1.0,b WC 19.5 Co,29.9,0.7,1265,13.2,5,-,-,-,WC,0.805,80.5,{'Co': 1.0},9.0,0.0,-0.0,0.0,0.0,0.03535533905932738,0.9878336754785522,7.8,13.0,1768.15,0.946271526736985,1673.15,5.0,WC
8,co,1.0,b WC 14 Co,22.3,0.7,1505,11.3,5,-,-,-,WC,0.86,86.0,{'Co': 1.0},9.0,0.0,-0.0,0.0,0.0,0.03535533905932738,0.9878336754785522,7.8,13.0,1768.15,0.946271526736985,1673.15,5.0,WC
9,co,1.0,b WC 9 Co,14.9,0.7,1865,10.6,5,-,-,-,WC,0.91,91.0,{'Co': 1.0},9.0,0.0,-0.0,0.0,0.0,0.03535533905932738,0.9878336754785522,7.8,13.0,1768.15,0.946271526736985,1673.15,5.0,WC
10,co,1.0,b WC 5.9 Co,10,0.7,2020,8.9,5,-,-,-,WC,0.941,94.1,{'Co': 1.0},9.0,0.0,-0.0,0.0,0.0,0.03535533905932738,0.9878336754785522,7.8,13.0,1768.15,0.946271526736985,1673.15,5.0,WC
11,co,1.0,b WC 3 Co,5.2,0.7,2156,8.7,5,-,-,-,WC,0.97,97.0,{'Co': 1.0},9.0,0.0,-0.0,0.0,0.0,0.03535533905932738,0.9878336754785522,7.8,13.0,1768.15,0.946271526736985,1673.15,5.0,WC
12,co,1.0,b WC 6 Co,10.1,7.5,1110,15.6,-,2230,con,1380,WC,0.94,94.0,{'Co': 1.0},9.0,0.0,-0.0,0.0,0.0,0.03535533905932738,0.9878336754785522,7.8,13.0,1768.15,0.9349602692079292,1653.15,1.0,WC
13,co,1.0,b WC 6 Co,10.1,3.6,1433,12.8,-,1960,con,1380,WC,0.94,94.0,{'Co': 1.0},9.0,0.0,-0.0,0.0,0.0,0.03535533905932738,0.9878336754785522,7.8,13.0,1768.15,0.9349602692079292,1653.15,1.0,WC
14,co,1.0,b WC 6 Co,10.1,1.5,1578,10.6,-,1930,con,1380,WC,0.94,94.0,{'Co': 1.0},9.0,0.0,-0.0,0.0,0.0,0.03535533905932738,0.9878336754785522,7.8,13.0,1768.15,0.9349602692079292,1653.15,1.0,WC
15,co,1.0,b WC 7 Co,11.7,0.5,1592,8.3,-,1965,con,1380,WC,0.93,93.0,{'Co': 1.0},9.0,0.0,-0.0,0.0,0.0,0.03535533905932738,0.9878336754785522,7.8,13.0,1768.15,0.9349602692079292,1653.15,1.0,WC
16,co,1.0,b WC 10 Co,16.4,5,1127,15.1,-,2500,con,1380,WC,0.9,90.0,{'Co': 1.0},9.0,0.0,-0.0,0.0,0.0,0.03535533905932738,0.9878336754785522,7.8,13.0,1768.15,0.9349602692079292,1653.15,1.0,WC
17,co,1.0,b WC 10 Co,16.4,3.2,1173,12.7,-,2320,con,1380,WC,0.9,90.0,{'Co': 1.0},9.0,0.0,-0.0,0.0,0.0,0.03535533905932738,0.9878336754785522,7.8,13.0,1768.15,0.9349602692079292,1653.15,1.0,WC
