Composite_MagpieData mean NUnfilled,Binder_MagpieData avg_dev NdUnfilled,Binder_frac d valence electrons,pred_formation_energy,Binder_MagpieData range Column,Grain_Size_um,lattice_mismatch_wc,Diff_Number,Binder_MagpieData minimum SpaceGroupNumber,Binder_Element_Count,HV_kgf_mm2,Binder_Vol_Pct
4.195375,0.466835938,0.770550678,0.843130052,4,8,0.206837072,2.725,225,4,1275,98
4.195375,0.466835938,0.770550678,0.843130052,4,6.5,0.206837072,2.725,225,4,1254,98
4.195375,0.466835938,0.770550678,0.843130052,4,8.2,0.206837072,2.725,225,4,1234,98
4.19093458,0.471496486,0.770574203,0.843470395,4,7.3,0.206265187,2.73230975,225,4,989,98
4.59095,0.536798,0.794664683,0.150015011,7,2,0.112999877,11.617,225,4,1020,16.2
4.602845,0.67175,0.794678444,0.151507646,7,2,0.112507458,11.831,225,4,1011,16.5
4.71316,1.074618,0.7986329,0.343605608,7,2,0.112116389,9.956,225,4,1002,14.2
4.695268,0.966482,0.798520645,0.337880492,7,2,0.112278131,9.95,225,4,963,14.2
4.586508,0.547624,0.790752688,0.150486439,7,2,0.112822762,11.864,225,4,1111,16.7
4.586508,0.547624,0.790752688,0.150486439,7,2,0.112822762,11.864,225,4,1098,16.7
4.586508,0.547624,0.790752688,0.150486439,7,2,0.112822762,11.864,225,4,1134,16.7
4.586508,0.547624,0.790752688,0.150486439,7,2,0.112822762,11.864,225,4,1143,16.7
4.586508,0.547624,0.790752688,0.150486439,7,2,0.112822762,11.864,225,4,1158,16.7
4.586508,0.547624,0.790752688,0.150486439,7,2,0.112822762,11.864,225,4,1098,16.7
4.600822,0.67925,0.790695141,0.144423857,7,2,0.112419278,12.038,225,4,1047,16.9
4.600822,0.67925,0.790695141,0.144423857,7,2,0.112419278,12.038,225,4,981,16.9
4.600822,0.67925,0.790695141,0.144423857,7,2,0.112419278,12.038,225,4,1082,16.9
4.600822,0.67925,0.790695141,0.144423857,7,2,0.112419278,12.038,225,4,1058,16.9
4.600822,0.67925,0.790695141,0.144423857,7,2,0.112419278,12.038,225,4,1053,16.9
4.694195,0.978912,0.795588727,0.335064501,7,2,0.112278131,10.083,225,4,1054,14.5
4.694195,0.978912,0.795588727,0.335064501,7,2,0.112278131,10.083,225,4,1041,14.5
4.694195,0.978912,0.795588727,0.335064501,7,2,0.112278131,10.083,225,4,1055,14.5
4.694195,0.978912,0.795588727,0.335064501,7,2,0.112278131,10.083,225,4,1082,14.5
4.694195,0.978912,0.795588727,0.335064501,7,2,0.112278131,10.083,225,4,1068,14.5
4.694195,0.978912,0.795588727,0.335064501,7,2,0.112278131,10.083,225,4,1054,14.5
4.708146,1.074304,0.795575121,0.346214473,7,2,0.112129558,10.163,225,4,1026,14.6
4.708146,1.074304,0.795575121,0.346214473,7,2,0.112129558,10.163,225,4,999,14.6
4.708146,1.074304,0.795575121,0.346214473,7,2,0.112129558,10.163,225,4,1054,14.6
4.708146,1.074304,0.795575121,0.346214473,7,2,0.112129558,10.163,225,4,1082,14.6
4.708146,1.074304,0.795575121,0.346214473,7,2,0.112129558,10.163,225,4,1068,14.6
4.708146,1.074304,0.795575121,0.346214473,7,2,0.112129558,10.163,225,4,1045,14.6
4.8215,0.4692,0.770063694,0.845294476,4,4.1,0.136678923,13.79,225,4,1300,21
4.86315,0.4692,0.770063694,0.845294476,4,4.5,0.136678923,13.79,225,4,1398,16.1
4.90565,0.4692,0.770063694,0.845294476,4,5.1,0.136678923,13.79,225,4,1458,11.1
4.839666667,1.325,0.696759259,0.360723794,8,1,0.133630194,17.46666667,194,4,1576,18.5
4.844,1.325,0.696759259,0.360723794,8,1,0.133630194,17.46666667,194,4,1644,18
4.844866667,1.325,0.696759259,0.360723794,8,1,0.133630194,17.46666667,194,4,1767,17.9
4.845733333,1.325,0.696759259,0.360723794,8,1,0.133630194,17.46666667,194,4,1822,17.8
4.8492,1.325,0.696759259,0.360723794,8,1,0.133630194,17.46666667,194,4,1703,17.4
4.8483,0.4,0.767263427,0.907459021,4,3.3,0.137319682,14.18,217,4,1502,18.5
4.8483,0.4,0.767263427,0.907459021,4,2.3,0.137319682,14.18,217,4,1547,18.5
4.8483,0.4,0.767263427,0.907459021,4,0.9,0.137319682,14.18,217,4,1691,18.5
4.610227076,1.860529035,0.826501502,0.324544638,5,0.2,0.126973429,13.11703901,225,4,1456,20.7
4.71441559,1.328745946,0.799301397,0.290633827,5,0.2,0.125440304,13.64651938,225,4,1588,21.1
4.894476844,1.561962876,0.536595992,0.391009152,9,1,0.112085062,0.15780446,194,8,2120,8
4.894476844,1.561962876,0.536595992,0.391009152,9,1,0.112085062,0.15780446,194,8,2092,8
4.941220339,1.445814421,0.394042747,0.473639816,9,1,0.112726576,11.73559322,194,8,2168,6.8
4.941220339,1.445814421,0.394042747,0.473639816,9,1,0.112726576,11.73559322,194,8,2142,6.8
4.960097973,1.225809213,0.343528687,0.605140924,9,1,0.112872828,17.6402027,194,8,2271,6.2
4.960097973,1.225809213,0.343528687,0.605140924,9,1,0.112872828,17.6402027,194,8,2193,6.2
4.962028716,1.225809213,0.343528687,0.605140924,9,1,0.112872828,17.6402027,194,8,2208,5.9
4.970690691,1.002308615,0.311881188,0.604868054,9,1,0.112872828,21.99399399,194,8,2321,6.1
4.954049904,0.996015709,0.311887121,0.604868054,9,1,0.112872828,22.07293666,194,8,2321,9.5
