pred_magnetic_moment,Binder_Ni_atomic_frac,Composite_MagpieData mean GSmagmom,Mean_Free_Path,Binder_transition metal fraction,Grain_Size_um,Ceramic_Wt_Pct,lattice_mismatch_wc,pred_formation_energy,pred_lattice_param,Binder_MagpieData range MeltingT,KIC_MPa_m
1.773669243,0.11875,1.471956405,391.980401,1,8,84,0.206837072,0.843130052,3.54543829,1168,6.6
1.773669243,0.11875,1.471956405,318.4840758,1,6.5,84,0.206837072,0.843130052,3.54543829,1168,6.4
1.773669243,0.11875,1.471956405,401.779911,1,8.2,84,0.206837072,0.843130052,3.54543829,1168,6.4
1.773669243,0.120160214,1.47163145,357.6821159,1,7.3,70.04,0.206265187,0.843470395,3.547994614,1168,8.9
0.036256194,0.844,0.082914666,0.395209108,0.969,2,90,0.112507458,0.151507646,3.647332191,1962.53,32.7
-0.07045415,0.749,0.063324989,0.331001945,0.976,2,90,0.112116389,0.343605608,3.648939371,1962.53,32.6
-0.072460234,0.781,0.066030463,0.331001945,0.978,2,90,0.112278131,0.337880492,3.64827466,1962.53,39.4
-0.024945848,0.858,0.085311725,0.400959903,0.956,2,90,0.112822762,0.150486439,3.646036386,1962.53,13.5
-0.024945848,0.858,0.085311725,0.400959903,0.956,2,90,0.112822762,0.150486439,3.646036386,1962.53,19.6
-0.024945848,0.858,0.085311725,0.400959903,0.956,2,90,0.112822762,0.150486439,3.646036386,1962.53,17.2
-0.024945848,0.858,0.085311725,0.400959903,0.956,2,90,0.112822762,0.150486439,3.646036386,1962.53,14.9
-0.024945848,0.858,0.085311725,0.400959903,0.956,2,90,0.112822762,0.150486439,3.646036386,1962.53,14.7
-0.024945848,0.858,0.085311725,0.400959903,0.956,2,90,0.112822762,0.150486439,3.646036386,1962.53,16.5
0.036256194,0.829,0.083415393,0.406738379,0.954,2,90,0.112419278,0.144423857,3.647694588,1962.53,24
0.036256194,0.829,0.083415393,0.406738379,0.954,2,90,0.112419278,0.144423857,3.647694588,1962.53,33.5
0.036256194,0.829,0.083415393,0.406738379,0.954,2,90,0.112419278,0.144423857,3.647694588,1962.53,23.2
0.036256194,0.829,0.083415393,0.406738379,0.954,2,90,0.112419278,0.144423857,3.647694588,1962.53,20.7
0.036256194,0.829,0.083415393,0.406738379,0.954,2,90,0.112419278,0.144423857,3.647694588,1962.53,23.7
-0.022652414,0.769,0.066389486,0.33918089,0.967,2,90,0.112278131,0.335064501,3.64827466,1962.53,20.6
-0.022652414,0.769,0.066389486,0.33918089,0.967,2,90,0.112278131,0.335064501,3.64827466,1962.53,23.5
-0.022652414,0.769,0.066389486,0.33918089,0.967,2,90,0.112278131,0.335064501,3.64827466,1962.53,20.6
-0.022652414,0.769,0.066389486,0.33918089,0.967,2,90,0.112278131,0.335064501,3.64827466,1962.53,20.2
-0.022652414,0.769,0.066389486,0.33918089,0.967,2,90,0.112278131,0.335064501,3.64827466,1962.53,24.1
-0.022652414,0.769,0.066389486,0.33918089,0.967,2,90,0.112278131,0.335064501,3.64827466,1962.53,25.1
-0.070756555,0.741,0.064413371,0.341919974,0.965,2,90,0.112129558,0.346214473,3.64888525,1962.53,20.9
-0.070756555,0.741,0.064413371,0.341919974,0.965,2,90,0.112129558,0.346214473,3.64888525,1962.53,27.1
-0.070756555,0.741,0.064413371,0.341919974,0.965,2,90,0.112129558,0.346214473,3.64888525,1962.53,19.4
-0.070756555,0.741,0.064413371,0.341919974,0.965,2,90,0.112129558,0.346214473,3.64888525,1962.53,21.6
-0.070756555,0.741,0.064413371,0.341919974,0.965,2,90,0.112129558,0.346214473,3.64888525,1962.53,24.2
-0.070756555,0.741,0.064413371,0.341919974,0.965,2,90,0.112129558,0.346214473,3.64888525,1962.53,21.7
1.804512501,0.12,0.31862279,1.089872038,1,4.1,88,0.136678923,0.845294476,3.547994614,1168,12.9
1.804512501,0.12,0.244277473,0.86352698,1,4.5,91,0.136678923,0.845294476,3.547994614,1168,11.4
1.804512501,0.12,0.168414903,0.636782186,1,5.1,94,0.136678923,0.845294476,3.547994614,1168,10.6
1.263080359,0.083333333,0.243462572,0.226993587,0.833333333,1,88,0.133630194,0.360723794,3.560523987,2095,10
1.263080359,0.083333333,0.236882503,0.219511927,0.833333333,1,88,0.133630194,0.360723794,3.560523987,2095,9.5
1.263080359,0.083333333,0.235566489,0.218026531,0.833333333,1,88,0.133630194,0.360723794,3.560523987,2095,7.3
1.263080359,0.083333333,0.234250475,0.216544749,0.833333333,1,88,0.133630194,0.360723794,3.560523987,2095,7.8
1.263080359,0.083333333,0.228986419,0.210653498,0.833333333,1,88,0.133630194,0.360723794,3.560523987,2095,8.2
1.690685987,0.1,0.284346782,0.749078835,1,3.3,90,0.137319682,0.907459021,3.54536128,661,10.9
1.690685987,0.1,0.284346782,0.522085249,1,2.3,90,0.137319682,0.907459021,3.54536128,661,10.6
1.690685987,0.1,0.284346782,0.204294228,1,0.9,90,0.137319682,0.907459021,3.54536128,661,7.8
1.819509625,0.066688896,0.215527938,0.052206744,1,0.2,88.004,0.126973429,0.324544638,3.587881327,822.23,8.1
1.772486091,0.08336807,0.274638805,0.053485357,1,0.2,88.005,0.125440304,0.290633827,3.594182014,822.23,7.2
0.251662672,0.478559177,0.030443956,0.086956427,0.972555746,1,94.16007212,0.112085062,0.391009152,3.649068117,2525.53,6.8
0.251662672,0.478559177,0.030443956,0.086956427,0.972555746,1,94.16007212,0.112085062,0.391009152,3.649068117,2525.53,7.2
0.190090895,0.315254237,0.017046897,0.072961295,0.981355932,1,94.09409409,0.112726576,0.473639816,3.646431684,2525.53,5.9
0.190090895,0.315254237,0.017046897,0.072961295,0.981355932,1,94.09409409,0.112726576,0.473639816,3.646431684,2525.53,6.1
0.244740129,0.234797297,0.01158651,0.066098011,0.986486486,1,94.07526021,0.112872828,0.605140924,3.645830631,2525.53,6.1
0.244740129,0.234797297,0.01158651,0.066098011,0.986486486,1,94.07526021,0.112872828,0.605140924,3.645830631,2525.53,6.5
0.244740129,0.234797297,0.011025872,0.062699189,0.986486486,1,94.07526021,0.112872828,0.605140924,3.645830631,2525.53,6.3
0.264854282,0.175675676,0.008507793,0.064962657,0.989489489,1,93.34,0.112872828,0.604868054,3.645830631,2525.53,6.5
0.264854282,0.1756238,0.013321945,0.10497226,0.990403071,1,89.58,0.112872828,0.604868054,3.645830631,2525.53,6.3
0.264854282,0.175796178,0.02004497,0.166860949,0.989808917,1,84.3,0.112872828,0.604868054,3.645830631,2525.53,7.1
0.264854282,0.175796178,0.02004497,0.166860949,0.989808917,1,84.3,0.112872828,0.604868054,3.645830631,2525.53,6.7
0.517030656,0.072229141,0.003503211,0.066098011,0.99626401,1,91.97,0.113785613,0.644303977,3.642079353,2525.53,6.6
0.517030656,0.072,0.00560018,0.107419593,0.996,1,87.5,0.113115208,0.644758761,3.644834518,2525.53,6.5
0.487925023,0.039909639,0.003128566,0.10864733,0.997740964,1,86.72,0.11310465,0.625735164,3.644877911,2525.53,7.9
0.261761785,0.408026756,0.037372614,0.091702957,0.969899666,1,94.01880376,0.112085062,0.386225492,3.649068117,2525.53,7.6
0.261761785,0.408026756,0.037372614,0.091702957,0.969899666,1,94.01880376,0.112085062,0.386225492,3.649068117,2525.53,8
0.142121598,0.271666667,0.02101246,0.076426183,0.98,1,94,0.112726576,0.473272026,3.646431684,2525.53,6.4
0.142121598,0.271666667,0.02101246,0.076426183,0.98,1,94,0.112726576,0.473272026,3.646431684,2525.53,7
0.487925023,0.033859177,0.007257852,0.245329707,0.997306656,1,74.01,0.11310465,0.628123164,3.644877911,2525.53,8.1
0.487925023,0.033859177,0.007257852,0.245329707,0.997306656,1,74.01,0.11310465,0.628123164,3.644877911,2525.53,7.1
0.535969079,0.181127983,0.126474578,0.153402361,0.989154013,1,90.77261809,0.112002566,0.517992735,3.649407148,2525.53,7.7
0.535969079,0.181127983,0.126474578,0.153402361,0.989154013,1,90.77261809,0.112002566,0.517992735,3.649407148,2525.53,8.1
0.258315265,0.30558598,0.097735181,0.149425116,0.982475356,1,90.85445257,0.112002566,0.494074494,3.649407148,2525.53,7.4
0.258315265,0.30558598,0.097735181,0.149425116,0.982475356,1,90.85445257,0.112002566,0.494074494,3.649407148,2525.53,7.7
0.251662672,0.478559177,0.030443956,0.086956427,0.972555746,1,94.16007212,0.112085062,0.391009152,3.649068117,2525.53,7.2
0.190090895,0.315254237,0.017046897,0.072961295,0.981355932,1,94.09409409,0.112726576,0.473639816,3.646431684,2525.53,6.8
0.244740129,0.234797297,0.01158651,0.066098011,0.986486486,1,94.07526021,0.112872828,0.605140924,3.645830631,2525.53,6.5
0.244740129,0.234797297,0.011025872,0.062699189,0.986486486,1,94.07526021,0.112872828,0.605140924,3.645830631,2525.53,6.3
0.264854282,0.175675676,0.008507793,0.064962657,0.989489489,1,93.34,0.112872828,0.604868054,3.645830631,2525.53,6.3
0.517030656,0.072229141,0.003503211,0.066098011,0.99626401,1,91.97,0.113785613,0.644303977,3.642079353,2525.53,6.6
0.264854282,0.1756238,0.013321945,0.10497226,0.990403071,1,89.58,0.112872828,0.604868054,3.645830631,2525.53,6.3
0.487925023,0.039909639,0.003128566,0.10864733,0.997740964,1,86.72,0.11310465,0.625735164,3.644877911,2525.53,6.7
0.264854282,0.1756238,0.013321945,0.10497226,0.990403071,1,89.58,0.112872828,0.604868054,3.645830631,2525.53,6.7
0.264854282,0.175796178,0.02004497,0.166860949,0.989808917,1,84.3,0.112872828,0.604868054,3.645830631,2525.53,6.4
0.691013753,0.198019802,0.27497458,0.205143411,0.955445545,0.4,79.8,0.112318566,0.235214427,3.648108482,1246.53,17.4
0.444362909,0.199004975,0.135160431,0.20336919,0.910447761,1,89.95,0.116434222,0.770208061,3.631194353,1246.53,8.3
0.46803987,0.195,0.237833952,0.422474506,0.91,1,80,0.116461952,0.771248579,3.631080389,1246.53,12.1
0.593172431,0.231,0.196397301,0.259445517,0.894,1,90,0.116466594,0.410478503,3.631061316,1246.53,7.5
0.593172431,0.231,0.196397301,0.259445517,0.894,1,90,0.116466594,0.410478503,3.631061316,1246.53,7
0.593172431,0.231,0.196397301,0.259445517,0.894,1,90,0.116466594,0.410478503,3.631061316,1246.53,6.9
0.593172431,0.2315,0.350851773,0.58227756,0.894,1,80,0.116466594,0.410444409,3.631061316,1246.53,9.2
0.593172431,0.2315,0.350851773,0.58227756,0.894,1,80,0.116466594,0.410444409,3.631061316,1246.53,9.5
0.593172431,0.2315,0.350851773,0.58227756,0.894,1,80,0.116466594,0.410444409,3.631061316,1246.53,9.9
2.072032928,0.006993007,0.254719968,0.197604554,1,1,89.99,0.137112574,0.387636036,3.546212435,452,10.1
1.958570123,0.052356021,0.223466144,0.191894885,1,1,90.45,0.137342946,0.364974588,3.545265675,661,8.2
1.799963355,0.111223458,0.205542708,0.20336919,1,1,90.11,0.136773543,0.377134711,3.547605753,661,6.4
2.044113398,0.047619048,0.289857105,0.261033719,1,1,87.4,0.137681919,0.365005493,3.543872595,661,10.8
1.832054019,0.065359477,0.40071485,0.459853343,1,1,80.11,0.13713723,0.373294652,3.546111107,661,17.8
0.090576403,0.642265193,0.061287387,0.136363481,0.962707182,1,92.74112693,0.112518655,0.248154476,3.647286177,1962.53,7
0.090576403,0.642265193,0.061287387,0.136363481,0.962707182,1,92.74112693,0.112518655,0.248154476,3.647286177,1962.53,7.4
0.090576403,0.642265193,0.061287387,0.136363481,0.962707182,1,92.74112693,0.112518655,0.248154476,3.647286177,1962.53,7.2
0.090576403,0.642265193,0.061287387,0.136363481,0.962707182,1,92.74112693,0.112518655,0.248154476,3.647286177,1962.53,7.3
0.090576403,0.642265193,0.061287387,0.136363481,0.962707182,1,92.74112693,0.112518655,0.248154476,3.647286177,1962.53,7.9
0.090576403,0.642265193,0.061287387,0.136363481,0.962707182,1,92.74112693,0.112518655,0.248154476,3.647286177,1962.53,7.3
0.448611438,0.7,0.103847515,0.152380771,1,0.8,90,0.137649141,0.176071271,3.544007301,1168,9.5
1.564729333,0.307692308,0.180640492,0.037812083,1,0.2,90.25,0.137503063,0.342419267,3.544607639,455,9.5
1.520978451,0.14,0.319603227,0.634133206,0.985,2.4,70,0.178644249,0.933569431,3.55482769,493,14
1.520978451,0.14,0.204917129,0.371362158,0.985,2.4,80,0.178644249,0.933569431,3.55482769,493,11
0.593172431,0.231333333,0.101948185,0.119820694,0.894,1,85,0.161030195,0.410478503,3.631061316,1246.53,11.4
